segment_id,edge_id,travel_rate
28458821_2,28458821,nan
28458821_3,28458821,nan
28458821_4,28458821,nan
28458821_5,28458821,nan
28458821_6,28458821,nan
28458821_7,28458821,nan
28458821_8,28458821,nan
28458821_9,28458821,nan
28458821_10,28458821,nan
28458821_11,28458821,nan
28458821_12,28458821,nan
28458821_13,28458821,nan
28458821_14,28458821,nan
28458821_15,28458821,nan
28458824_0,28458824,nan
28458824_1,28458824,nan
28458824_2,28458824,nan
28458824_3,28458824,nan
28458824_4,28458824,nan
28458824_5,28458824,nan
28458824_6,28458824,nan
28458824_7,28458824,nan
28458824_8,28458824,nan
28458824_9,28458824,nan
28458824_10,28458824,nan
28458824_11,28458824,nan
28458824_12,28458824,nan
28458824_13,28458824,nan
28458824_14,28458824,nan
28458824_15,28458824,nan
28458824_16,28458824,nan
28458824_17,28458824,nan
28458824_18,28458824,nan
28458824_19,28458824,nan
28458824_20,28458824,nan
28458824_21,28458824,nan
28458828_0,28458828,nan
28458895_0,28458895,nan
28531510_0,28531510,nan
28531510_1,28531510,nan
28531510_2,28531510,nan
28531510_3,28531510,nan
28531510.48_0,28531510.48,nan
28531510.48_1,28531510.48,nan
28531510.48_2,28531510.48,nan
28531510.48_3,28531510.48,nan
28531510.48_4,28531510.48,nan
28531510.48_5,28531510.48,nan
28531510.48_6,28531510.48,nan
28531510.48_7,28531510.48,nan
28531510.48_8,28531510.48,nan
28531510.48_9,28531510.48,nan
28531510.48_10,28531510.48,nan
28531510.48_11,28531510.48,nan
28531510.48_12,28531510.48,nan
28531510.48_13,28531510.48,nan
29038677_0,29038677,nan
29038677_1,29038677,nan
29038677_2,29038677,nan
29038677_3,29038677,nan
29038677_4,29038677,nan
29038677_5,29038677,nan
29038677_6,29038677,nan
29038677_7,29038677,nan
29038677_8,29038677,nan
29038677_9,29038677,nan
29038677_10,29038677,nan
29038677_11,29038677,nan
29038677_12,29038677,nan
29038677_13,29038677,nan
29038677_14,29038677,nan
29038677_15,29038677,nan
29038677_16,29038677,nan
29038677_17,29038677,nan
29038677_18,29038677,nan
29332864_0,29332864,nan
29332864_1,29332864,nan
29332864_2,29332864,nan
29332864_3,29332864,nan
29332864_4,29332864,nan
29332864_5,29332864,nan
29332864_6,29332864,nan
293596618#1-AddedOffRampEdge_0,293596618#1-AddedOffRampEdge,nan
30414032_0,30414032,nan
30414032_1,30414032,nan
30414032_2,30414032,nan
30414032_3,30414032,nan
30414032_4,30414032,nan
30414032_5,30414032,nan
30414032_6,30414032,nan
30414032_7,30414032,nan
30414032_8,30414032,nan
30414032_9,30414032,nan
30414032_10,30414032,nan
30414032_11,30414032,nan
319144060_0,319144060,nan
319144060_1,319144060,nan
328393125_0,328393125,nan
328393125_1,328393125,nan
328393125_2,328393125,nan
328393125-AddedOnRampEdge_0,328393125-AddedOnRampEdge,nan
332655578_0,332655578,nan
332655578_1,332655578,nan
332655578_2,332655578,nan
332655578_3,332655578,nan
332655578_4,332655578,nan
332655578_5,332655578,nan
332655578_6,332655578,nan
332655578_7,332655578,nan
332655578_8,332655578,nan
332655578_9,332655578,nan
332655578_10,332655578,nan
332655578_11,332655578,nan
332655578_12,332655578,nan
332655578_13,332655578,nan
332655578_14,332655578,nan
332655578_15,332655578,nan
332655578_16,332655578,nan
332655578_17,332655578,nan
332655578_18,332655578,nan
332655581_0,332655581,nan
332655581_1,332655581,nan
345616204#1_0,345616204#1,nan
345616204#1_1,345616204#1,nan
345616204#1_2,345616204#1,nan
345616204#1-AddedOnRampEdge_0,345616204#1-AddedOnRampEdge,nan
345616204#1.334_0,345616204#1.334,nan
345616204#1.655_0,345616204#1.655,nan
360361373_0,360361373,nan
360361373_1,360361373,nan
360361373_2,360361373,nan
360361373_3,360361373,nan
360361373_4,360361373,nan
360361373-AddedOffRampEdge_0,360361373-AddedOffRampEdge,nan
360361373-AddedOnRampEdge_0,360361373-AddedOnRampEdge,nan
360361373.1498_0,360361373.1498,nan
360361373.1498_1,360361373.1498,nan
360361373.1498_2,360361373.1498,nan
360361373.1498_3,360361373.1498,nan
360361373.1498_4,360361373.1498,nan
360361373.1498_5,360361373.1498,nan
360361373.1498_6,360361373.1498,nan
360361373.1899_0,360361373.1899,nan
360361373.1899_1,360361373.1899,nan
360361373.1899_2,360361373.1899,nan
360361373.1899_3,360361373.1899,nan
360361373.1899_4,360361373.1899,nan
360361373.2215_0,360361373.2215,nan
360361373.2215_1,360361373.2215,nan
360361373.2215_2,360361373.2215,nan
360361373.2643_0,360361373.2643,nan
360361373.2643_1,360361373.2643,nan
360361373.2643_2,360361373.2643,nan
360361373.463_0,360361373.463,nan
360361373.463_1,360361373.463,nan
360361373.463_2,360361373.463,nan
360361373.463_3,360361373.463,nan
360361373.463_4,360361373.463,nan
360361373.463_5,360361373.463,nan
360361373.981_0,360361373.981,nan
360361373.981_1,360361373.981,nan
360361373.981_2,360361373.981,nan
360361373.981_3,360361373.981,nan
360361373.981_4,360361373.981,nan
360361373.981_5,360361373.981,nan
360361373.981_6,360361373.981,nan
360361373.981_7,360361373.981,nan
4074534_0,4074534,nan
4074534_1,4074534,nan
4074534_2,4074534,nan
41517592_0,41517592,nan
41517592_1,41517592,nan
41517592_2,41517592,nan
41517592_3,41517592,nan
41517592_4,41517592,nan
41517592_5,41517592,nan
428960734_0,428960734,nan
428960734_1,428960734,nan
428960734_2,428960734,nan
428960735_0,428960735,nan
429432523_0,429432523,nan
429432524_0,429432524,nan
429432524_1,429432524,nan
429432526_0,429432526,nan
429432526_1,429432526,nan
429432526_2,429432526,nan
429432526_3,429432526,nan
429432526_4,429432526,nan
429432526_5,429432526,nan
429432526_6,429432526,nan
429432526_7,429432526,nan
429432526_8,429432526,nan
429432526_9,429432526,nan
429432526_10,429432526,nan
429432526_11,429432526,nan
429432526_12,429432526,nan
429432526_13,429432526,nan
429432526_14,429432526,nan
429432526_15,429432526,nan
429432526_16,429432526,nan
429432526_17,429432526,nan
429432526_18,429432526,nan
429432526_19,429432526,nan
429432526_20,429432526,nan
429432526_21,429432526,nan
429432526_22,429432526,nan
429432526_23,429432526,nan
429432526_24,429432526,nan
429432526_25,429432526,nan
429432526_26,429432526,nan
429432526_27,429432526,nan
429432526_28,429432526,nan
429432526_29,429432526,nan
429432526_30,429432526,nan
429432526_31,429432526,nan
429432526_32,429432526,nan
429432526_33,429432526,nan
429432925_0,429432925,nan
431199180_0,431199180,nan
4402237_0,4402237,nan
4402237_1,4402237,nan
4402297_0,4402297,nan
4402297_1,4402297,nan
4402297_2,4402297,nan
4404096_0,4404096,nan
4404096_1,4404096,nan
4404096_2,4404096,nan
4404096_3,4404096,nan
4404096_4,4404096,nan
4404096_5,4404096,nan
4404096_6,4404096,nan
4404096_7,4404096,nan
4404096_8,4404096,nan
4404096_9,4404096,nan
4404096_10,4404096,nan
4414080#0_0,4414080#0,nan
4414080#0_1,4414080#0,nan
4414080#0_2,4414080#0,nan
4414080#0_3,4414080#0,nan
4414080#0_4,4414080#0,nan
4414080#0_5,4414080#0,nan
4414080#0.187_0,4414080#0.187,nan
4414080#0.187_1,4414080#0.187,nan
4414080#0.756_0,4414080#0.756,nan
4414080#0.756.47_0,4414080#0.756.47,nan
4414080#1-AddedOnRampEdge_0,4414080#1-AddedOnRampEdge,nan
4414080#1-AddedOnRampEdge.343_0,4414080#1-AddedOnRampEdge.343,nan
4414080#1-AddedOnRampEdge.675_0,4414080#1-AddedOnRampEdge.675,nan
457424511#3_0,457424511#3,nan
457424511#3_1,457424511#3,nan
457424511#3_2,457424511#3,nan
457424511#3_3,457424511#3,nan
457424511#3_4,457424511#3,nan
457424511#3.414_0,457424511#3.414,nan
457424511#3.414_1,457424511#3.414,nan
457424511#3.414_2,457424511#3.414,nan
48290550_0,48290550,nan
48290550_1,48290550,nan
48290550-AddedOffRampEdge_0,48290550-AddedOffRampEdge,nan
48290550.1176_0,48290550.1176,nan
48290550.1176_1,48290550.1176,nan
48290550.1176_2,48290550.1176,nan
48290550.1176_3,48290550.1176,nan
48290550.1480_0,48290550.1480,nan
48290550.1480_1,48290550.1480,nan
48290550.1480_2,48290550.1480,nan
48290550.1480_3,48290550.1480,nan
48290550.1878_0,48290550.1878,nan
48290550.1878_1,48290550.1878,nan
48290550.1878_2,48290550.1878,nan
48290550.1878_3,48290550.1878,nan
48290550.1878_4,48290550.1878,nan
48290550.1878_5,48290550.1878,nan
48290550.2391_0,48290550.2391,nan
48290550.2391_1,48290550.2391,nan
48290550.2904_0,48290550.2904,nan
48290550.2904_1,48290550.2904,nan
48290550.2904_2,48290550.2904,nan
48290550.3266_0,48290550.3266,nan
48290550.745_0,48290550.745,nan
48290550.745_1,48290550.745,nan
48290550.745_2,48290550.745,nan
48290551#0_0,48290551#0,nan
48290551#0_1,48290551#0,nan
48290551#0_2,48290551#0,nan
48290551#0_3,48290551#0,nan
48290551#0_4,48290551#0,nan
48290551#0_5,48290551#0,nan
48290551#0_6,48290551#0,nan
48290551#0_7,48290551#0,nan
48290551#0_8,48290551#0,nan
48290551#0_9,48290551#0,nan
48290551#0_10,48290551#0,nan
48290551#1_0,48290551#1,nan
48290551#1_1,48290551#1,nan
48290551#1_2,48290551#1,nan
48290551#1_3,48290551#1,nan
48290551#1_4,48290551#1,nan
48290552_0,48290552,nan
48290552_1,48290552,nan
48290552_2,48290552,nan
48290552_3,48290552,nan
48290552_4,48290552,nan
48290552_5,48290552,nan
48516115_0,48516115,nan
48516115_1,48516115,nan
48516115_2,48516115,nan
48516115_3,48516115,nan
48516115_4,48516115,nan
48516117_0,48516117,nan
48516117_1,48516117,nan
48516117_2,48516117,nan
48516117.389_0,48516117.389,nan
48516117.389_1,48516117.389,nan
48516117.389_2,48516117.389,nan
48516117.389_3,48516117.389,nan
48516117.389_4,48516117.389,nan
48516117.389_5,48516117.389,nan
48516117.389_6,48516117.389,nan
48516117.389_7,48516117.389,nan
489961226_0,489961226,nan
491989399#0_0,491989399#0,nan
491989399#0_1,491989399#0,nan
491989399#0_2,491989399#0,nan
491989399#1-AddedOnRampEdge_0,491989399#1-AddedOnRampEdge,nan
491989399#1-AddedOnRampEdge_1,491989399#1-AddedOnRampEdge,nan
491989399#1-AddedOnRampEdge_2,491989399#1-AddedOnRampEdge,nan
491989399#1-AddedOnRampEdge.533_0,491989399#1-AddedOnRampEdge.533,nan
491989399#1-AddedOnRampEdge.925_0,491989399#1-AddedOnRampEdge.925,nan
491989399#1-AddedOnRampEdge.925_1,491989399#1-AddedOnRampEdge.925,nan
492226824_0,492226824,nan
492226824_1,492226824,nan
492226824_2,492226824,nan
492226827_0,492226827,nan
492226827_1,492226827,nan
492226827_2,492226827,nan
492226827_3,492226827,nan
492226827_4,492226827,nan
492226827_5,492226827,nan
492226827_6,492226827,nan
492226827_7,492226827,nan
492226831_0,492226831,nan
492226831_1,492226831,nan
492226831_2,492226831,nan
492226831_3,492226831,nan
492226831_4,492226831,nan
492229071_0,492229071,nan
492229071_1,492229071,nan
492229071_2,492229071,nan
492229071_3,492229071,nan
4937552#0_0,4937552#0,nan
4937552#0_1,4937552#0,nan
4937552#0_2,4937552#0,nan
4937552#0_3,4937552#0,nan
4937552#0_4,4937552#0,nan
4937552#0_5,4937552#0,nan
4937552#1_0,4937552#1,nan
4937552#1_1,4937552#1,nan
4937552#1_2,4937552#1,nan
4937552#1_3,4937552#1,nan
4937552#1_4,4937552#1,nan
4937552#1-AddedOnRampEdge_0,4937552#1-AddedOnRampEdge,nan
51744449#0_0,51744449#0,nan
51744449#0_1,51744449#0,nan
51744449#0_2,51744449#0,nan
51744449#0_3,51744449#0,nan
51744449#0_4,51744449#0,nan
51744449#0_5,51744449#0,nan
51744449#0_6,51744449#0,nan
51744449#0_7,51744449#0,nan
51744449#0_8,51744449#0,nan
51744449#0_9,51744449#0,nan
51744449#0_10,51744449#0,nan
51744449#0_11,51744449#0,nan
51744449#0_12,51744449#0,nan
51744449#0_13,51744449#0,nan
51744449#0_14,51744449#0,nan
51744449#0_15,51744449#0,nan
51744449#0_16,51744449#0,nan
51744449#1_0,51744449#1,nan
51744449#1_1,51744449#1,nan
54121078_0,54121078,nan
54121078_1,54121078,nan
54121078_2,54121078,nan
54121078_3,54121078,nan
54121078_4,54121078,nan
54121078_5,54121078,nan
54121078_6,54121078,nan
54121078_7,54121078,nan
54121078_8,54121078,nan
54121078_9,54121078,nan
54121078_10,54121078,nan
54121078_11,54121078,nan
54121078_12,54121078,nan
54121078_13,54121078,nan
54121078_14,54121078,nan
54121078_15,54121078,nan
54121078_16,54121078,nan
54121078_17,54121078,nan
54121078_18,54121078,nan
54121079_0,54121079,nan
54121079_1,54121079,nan
54121079_2,54121079,nan
54121079_3,54121079,nan
54121079_4,54121079,nan
54121079_5,54121079,nan
54121079_6,54121079,nan
54121079_7,54121079,nan
54121079_8,54121079,nan
54121214_0,54121214,nan
54121214_1,54121214,nan
54121214_2,54121214,nan
54121214_3,54121214,nan
54121214_4,54121214,nan
54121214_5,54121214,nan
54121214_6,54121214,nan
54121214_7,54121214,nan
54121214_8,54121214,nan
54121214_9,54121214,nan
54121214_10,54121214,nan
54121214_11,54121214,nan
54121214_12,54121214,nan
54121214_13,54121214,nan
54121214_14,54121214,nan
54121214_15,54121214,nan
54121214_16,54121214,nan
54121214_17,54121214,nan
54121214_18,54121214,nan
54121214_19,54121214,nan
54121214_20,54121214,nan
54121214_21,54121214,nan
54121214_22,54121214,nan
54121214_23,54121214,nan
61047111_0,61047111,nan
61047111-AddedOnRampEdge_0,61047111-AddedOnRampEdge,nan
61047111.165_0,61047111.165,nan
615002705#0_0,615002705#0,nan
615002705#0_1,615002705#0,nan
615002705#0_2,615002705#0,nan
615002705#0_3,615002705#0,nan
615002705#0_4,615002705#0,nan
615002705#0_5,615002705#0,nan
615002705#0_6,615002705#0,nan
615002705#1_0,615002705#1,nan
615002705#1_1,615002705#1,nan
615002705#1_2,615002705#1,nan
621521116#0_0,621521116#0,nan
621521116#0_1,621521116#0,nan
621521116#0_2,621521116#0,nan
621521116#0_3,621521116#0,nan
621521116#0_4,621521116#0,nan
621521116#0_5,621521116#0,nan
621521117_0,621521117,nan
621521117_1,621521117,nan
621521117_2,621521117,nan
68025407_0,68025407,nan
68025407_1,68025407,nan
68025407_2,68025407,nan
68025407_3,68025407,nan
68025407_4,68025407,nan
68025407_5,68025407,nan
68025407_6,68025407,nan
68025407_7,68025407,nan
68025407_8,68025407,nan
68025407_9,68025407,nan
68025407_10,68025407,nan
71324924_0,71324924,nan
71324924_1,71324924,nan
71324924_2,71324924,nan
71324924_3,71324924,nan
71324924_4,71324924,nan
71324924_5,71324924,nan
71324924_6,71324924,nan
71324924_7,71324924,nan
71324924_8,71324924,nan
71324924_9,71324924,nan
71324924_10,71324924,nan
71325123_0,71325123,nan
71325123_1,71325123,nan
75259388-AddedOffRampEdge_0,75259388-AddedOffRampEdge,nan
75259388-AddedOffRampEdge.122_0,75259388-AddedOffRampEdge.122,nan
75259388-AddedOffRampEdge.381_0,75259388-AddedOffRampEdge.381,nan
75259388-AddedOffRampEdge.702_0,75259388-AddedOffRampEdge.702,nan
75259388-AddedOffRampEdge.76_0,75259388-AddedOffRampEdge.76,nan
75266085_0,75266085,nan
75266085_1,75266085,nan
75266085_2,75266085,nan
75266085_3,75266085,nan
75266085_4,75266085,nan
75266085_5,75266085,nan
75266085_6,75266085,nan
75266085_7,75266085,nan
75266085_8,75266085,nan
75266085_9,75266085,nan
75266085_10,75266085,nan
75266085_11,75266085,nan
75266085_12,75266085,nan
75266085_13,75266085,nan
75266085_14,75266085,nan
75266085_15,75266085,nan
75266085_16,75266085,nan
75266085_17,75266085,nan
75266085_18,75266085,nan
75266091_0,75266091,nan
75266091_1,75266091,nan
75266094_0,75266094,nan
75266094_1,75266094,nan
75266094_2,75266094,nan
75266094_3,75266094,nan
75266094_4,75266094,nan
75266094_5,75266094,nan
75266094_6,75266094,nan
75266094_7,75266094,nan
75266094_8,75266094,nan
75266094_9,75266094,nan
75266094_10,75266094,nan
75266094_11,75266094,nan
75266094_12,75266094,nan
75266094_13,75266094,nan
75266094_14,75266094,nan
75266094_15,75266094,nan
75266094_16,75266094,nan
75266094_17,75266094,nan
75266094_18,75266094,nan
75266094_19,75266094,nan
75266094_20,75266094,nan
75266094_21,75266094,nan
75266094_22,75266094,nan
75266094_23,75266094,nan
gneE0_0,gneE0,nan
gneE0_1,gneE0,nan
gneE0_2,gneE0,nan
gneE0_3,gneE0,nan
gneE0_4,gneE0,nan
gneE10_0,gneE10,nan
gneE11_0,gneE11,nan
gneE12_0,gneE12,nan
gneE2_0,gneE2,nan
gneE3_0,gneE3,nan
gneE4_0,gneE4,nan
gneE6_0,gneE6,nan
gneE7_0,gneE7,nan
